time_collected,title,description,source,text,sentiment,score
2026-03-04 09:37:28.793268,New strikes across Middle East as Iran presses retaliatory attacks,US President Donald Trump warned that his attack on Iran could extend longer than a month.,CNA,New strikes across Middle East as Iran presses retaliatory attacks US President Donald Trump warned that his attack on Iran could extend longer than a month.,Neutral,0.06818181818181818
2026-03-04 09:37:28.793270,Ethiopian Modernism: Mid-Century Architecture of Africa's Capital,"In January 2026, the World Monuments Fund/Knoll Modernism Prize was awarded to Australian firm Architectus for their conservation of the Africa Hall in Addis Ababa, Ethiopia. The award recognizes that Modernist buildings, once seen as a vanguard of architectu…",ArchDaily,"Ethiopian Modernism: Mid-Century Architecture of Africa's Capital In January 2026, the World Monuments Fund/Knoll Modernism Prize was awarded to Australian firm Architectus for their conservation of the Africa Hall in Addis Ababa, Ethiopia. The award recognizes that Modernist buildings, once seen as a vanguard of architectu…",Neutral,-0.1
2026-03-04 09:37:28.793271,Amazon says drones damaged three facilities in UAE and Bahrain,The incidents highlight the vulnerability of key technology infrastructure during military conflicts.,BBC News,Amazon says drones damaged three facilities in UAE and Bahrain The incidents highlight the vulnerability of key technology infrastructure during military conflicts.,Neutral,-0.05
2026-03-04 09:37:28.793272,Mossad hacked every traffic camera in Tehran for YEARS... how Israel and America sealed the fate of the ayatollah,"Mossad operatives hacked into Tehran's traffic camera network to spy on Ayatollah Ali Khamenei, his bodyguards and other top Iranian officials for years Israel gained access to almost all the city's cameras, and tracked the movements of key bodyguards. Images…",Freerepublic.com,"Mossad hacked every traffic camera in Tehran for YEARS... how Israel and America sealed the fate of the ayatollah Mossad operatives hacked into Tehran's traffic camera network to spy on Ayatollah Ali Khamenei, his bodyguards and other top Iranian officials for years Israel gained access to almost all the city's cameras, and tracked the movements of key bodyguards. Images…",Positive,0.125
2026-03-04 09:37:28.793273,Netanyahu Says There Will Be No Endless War With Iran,"Israeli Prime Minister Benjamin Netanyahu has said that there will be no endless war with Iran, but rather swift and decisive action.",Sputnikglobe.com,"Netanyahu Says There Will Be No Endless War With Iran Israeli Prime Minister Benjamin Netanyahu has said that there will be no endless war with Iran, but rather swift and decisive action.",Neutral,0.075
2026-03-04 09:37:28.793274,Witkoff: The Iranians boasted that they could make 11 nuclear bombs,"President Trump's envoy, Steve Witkoff, says in Fox News that Iran showed no interest in a deal to curb its missile program and nuclear ambitions.",Israelnationalnews.com,"Witkoff: The Iranians boasted that they could make 11 nuclear bombs President Trump's envoy, Steve Witkoff, says in Fox News that Iran showed no interest in a deal to curb its missile program and nuclear ambitions.",Neutral,0.0
2026-03-04 09:37:28.793275,Westbound flights from Delhi delayed amid West Asia tensions,Emirates and Etihad resume select operations as India monitors airspace situation,BusinessLine,Westbound flights from Delhi delayed amid West Asia tensions Emirates and Etihad resume select operations as India monitors airspace situation,Neutral,0.0
2026-03-04 09:37:28.793276,"Justice is 'being delivered', say Iranian Christians",A global network of Iranian Christians has welcomed targeted strikes against Iran’s leadership by the US and Israel.,Christiantoday.com,"Justice is 'being delivered', say Iranian Christians A global network of Iranian Christians has welcomed targeted strikes against Iran’s leadership by the US and Israel.",Neutral,0.0
2026-03-04 09:37:28.793276,Israel hacked Iran traffic cameras for years to pinpoint Khamenei location prior to strike: News report,"Iran war: According the Financial Times which cited multiple sources, Israel spent years hacking Tehran's traffic cameras and gaining access to mobile phone networks to monitor the movements of Khamenei and his security detail.",The Times of India,"Israel hacked Iran traffic cameras for years to pinpoint Khamenei location prior to strike: News report Iran war: According the Financial Times which cited multiple sources, Israel spent years hacking Tehran's traffic cameras and gaining access to mobile phone networks to monitor the movements of Khamenei and his security detail.",Neutral,-0.025
2026-03-04 09:39:39.747250,U.S urges immediate exit from 14 Middle East countries amid Iran-Israel war: Check the complete list,"The U.S. Department of State has issued an emergency security update as of March 2, 2026, mandating that all Americans currently in the Middle East depart immediately via commercial means. Citing ""serious safety risks,"" the advisory covers 15 nations, includi…",The Times of India,"U.S urges immediate exit from 14 Middle East countries amid Iran-Israel war: Check the complete list The U.S. Department of State has issued an emergency security update as of March 2, 2026, mandating that all Americans currently in the Middle East depart immediately via commercial means. Citing ""serious safety risks,"" the advisory covers 15 nations, includi…",Neutral,-0.03888888888888888
2026-03-04 09:39:39.747255,"UN says Israel has suspended humanitarian movements into Gaza, closed all crossings","HAMILTON: The United Nations (UN) said Monday (March 2) that Israel has closed all crossings into the Gaza Strip and suspended humanitarian movements in and near areas where Israeli forces remain deployed, Anadolu Ajansi (AA) reported. Read full story",The Star Online,"UN says Israel has suspended humanitarian movements into Gaza, closed all crossings HAMILTON: The United Nations (UN) said Monday (March 2) that Israel has closed all crossings into the Gaza Strip and suspended humanitarian movements in and near areas where Israeli forces remain deployed, Anadolu Ajansi (AA) reported. Read full story",Neutral,0.06249999999999999
2026-03-04 09:39:39.747256,Travelling or living overseas during the Iran crisis? Here’s what you need to know,People should register with SafeTravel for the latest safety advice.,New Zealand Herald,Travelling or living overseas during the Iran crisis? Here’s what you need to know People should register with SafeTravel for the latest safety advice.,Positive,0.5
2026-03-04 09:39:39.747257,"‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apologizes","A segment on the U.S. bombing of Iran became awkward on Monday when retired Gen. Jack Keane, a Fox News contributor, grew impatient on The Will Cain Show.
The post ‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apolog…",Mediaite,"‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apologizes A segment on the U.S. bombing of Iran became awkward on Monday when retired Gen. Jack Keane, a Fox News contributor, grew impatient on The Will Cain Show.
The post ‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apolog…",Negative,-0.11666666666666665
2026-03-04 09:39:39.747258,America Prayer Vigil - 3/3/26,"Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",Freerepublic.com,"America Prayer Vigil - 3/3/26 Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",Neutral,-0.05
2026-03-04 09:39:39.747259,Critics Mock 'Addled Psycho' Trump For Off-Topic Ramble At Medal Of Honor Ceremony,The president used a somber occasion to brag about his ballroom... and his taste in drapes.,HuffPost,Critics Mock 'Addled Psycho' Trump For Off-Topic Ramble At Medal Of Honor Ceremony The president used a somber occasion to brag about his ballroom... and his taste in drapes.,Negative,-0.4666666666666666
2026-03-04 09:39:39.747260,Israel's ambassador to Australia seeks to discredit the United Nations,"Israel's new ambassador to Australia seeks to discredit the United Nations by claiming the country ""can't take them seriously"".",ABC News (AU),"Israel's ambassador to Australia seeks to discredit the United Nations Israel's new ambassador to Australia seeks to discredit the United Nations by claiming the country ""can't take them seriously"".",Neutral,-0.09848484848484848
2026-03-04 09:39:39.747261,"Middle East conflict delays Windies, Zimbabwe teams' return",The West Indies and Zimbabwe cricket teams have delayed their return from India after being eliminated from the Twenty20 World Cup due to international airspace closures amid the ongoing conflict in the Middle East.,Rediff.com,"Middle East conflict delays Windies, Zimbabwe teams' return The West Indies and Zimbabwe cricket teams have delayed their return from India after being eliminated from the Twenty20 World Cup due to international airspace closures amid the ongoing conflict in the Middle East.",Neutral,-0.03125
2026-03-04 09:39:39.747262,Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video,"""Just as good,"" the late night host quips
The post Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video appeared first on TheWrap.",TheWrap,"Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video ""Just as good,"" the late night host quips
The post Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video appeared first on TheWrap.",Positive,0.21666666666666665
2026-03-04 09:39:39.747263,Woman Kicks Husband’s Entitled Family Out After They Call Her Out For Not Having A Job,"It started with generosity and trust, the kind that grows quietly over years. She supported her husband and even helped his extended family through financial struggles, never expecting repayment. But after becoming a mother and stepping away from work, the sa…",Boredpanda.com,"Woman Kicks Husband’s Entitled Family Out After They Call Her Out For Not Having A Job It started with generosity and trust, the kind that grows quietly over years. She supported her husband and even helped his extended family through financial struggles, never expecting repayment. But after becoming a mother and stepping away from work, the sa…",Positive,0.2625
2026-03-04 09:39:39.747263,New strikes across Middle East as Iran presses retaliatory attacks,US President Donald Trump warned that his attack on Iran could extend longer than a month.,CNA,New strikes across Middle East as Iran presses retaliatory attacks US President Donald Trump warned that his attack on Iran could extend longer than a month.,Neutral,0.06818181818181818
2026-03-04 09:39:39.747264,Ethiopian Modernism: Mid-Century Architecture of Africa's Capital,"In January 2026, the World Monuments Fund/Knoll Modernism Prize was awarded to Australian firm Architectus for their conservation of the Africa Hall in Addis Ababa, Ethiopia. The award recognizes that Modernist buildings, once seen as a vanguard of architectu…",ArchDaily,"Ethiopian Modernism: Mid-Century Architecture of Africa's Capital In January 2026, the World Monuments Fund/Knoll Modernism Prize was awarded to Australian firm Architectus for their conservation of the Africa Hall in Addis Ababa, Ethiopia. The award recognizes that Modernist buildings, once seen as a vanguard of architectu…",Neutral,-0.1
2026-03-04 09:39:39.747267,Amazon says drones damaged three facilities in UAE and Bahrain,The incidents highlight the vulnerability of key technology infrastructure during military conflicts.,BBC News,Amazon says drones damaged three facilities in UAE and Bahrain The incidents highlight the vulnerability of key technology infrastructure during military conflicts.,Neutral,-0.05
2026-03-04 09:39:39.747268,Mossad hacked every traffic camera in Tehran for YEARS... how Israel and America sealed the fate of the ayatollah,"Mossad operatives hacked into Tehran's traffic camera network to spy on Ayatollah Ali Khamenei, his bodyguards and other top Iranian officials for years Israel gained access to almost all the city's cameras, and tracked the movements of key bodyguards. Images…",Freerepublic.com,"Mossad hacked every traffic camera in Tehran for YEARS... how Israel and America sealed the fate of the ayatollah Mossad operatives hacked into Tehran's traffic camera network to spy on Ayatollah Ali Khamenei, his bodyguards and other top Iranian officials for years Israel gained access to almost all the city's cameras, and tracked the movements of key bodyguards. Images…",Positive,0.125
2026-03-04 09:39:39.747268,Netanyahu Says There Will Be No Endless War With Iran,"Israeli Prime Minister Benjamin Netanyahu has said that there will be no endless war with Iran, but rather swift and decisive action.",Sputnikglobe.com,"Netanyahu Says There Will Be No Endless War With Iran Israeli Prime Minister Benjamin Netanyahu has said that there will be no endless war with Iran, but rather swift and decisive action.",Neutral,0.075
2026-03-04 09:39:39.747269,Witkoff: The Iranians boasted that they could make 11 nuclear bombs,"President Trump's envoy, Steve Witkoff, says in Fox News that Iran showed no interest in a deal to curb its missile program and nuclear ambitions.",Israelnationalnews.com,"Witkoff: The Iranians boasted that they could make 11 nuclear bombs President Trump's envoy, Steve Witkoff, says in Fox News that Iran showed no interest in a deal to curb its missile program and nuclear ambitions.",Neutral,0.0
2026-03-04 09:39:39.747270,Westbound flights from Delhi delayed amid West Asia tensions,Emirates and Etihad resume select operations as India monitors airspace situation,BusinessLine,Westbound flights from Delhi delayed amid West Asia tensions Emirates and Etihad resume select operations as India monitors airspace situation,Neutral,0.0
2026-03-04 09:39:39.747271,"Justice is 'being delivered', say Iranian Christians",A global network of Iranian Christians has welcomed targeted strikes against Iran’s leadership by the US and Israel.,Christiantoday.com,"Justice is 'being delivered', say Iranian Christians A global network of Iranian Christians has welcomed targeted strikes against Iran’s leadership by the US and Israel.",Neutral,0.0
2026-03-04 09:39:39.747272,Israel hacked Iran traffic cameras for years to pinpoint Khamenei location prior to strike: News report,"Iran war: According the Financial Times which cited multiple sources, Israel spent years hacking Tehran's traffic cameras and gaining access to mobile phone networks to monitor the movements of Khamenei and his security detail.",The Times of India,"Israel hacked Iran traffic cameras for years to pinpoint Khamenei location prior to strike: News report Iran war: According the Financial Times which cited multiple sources, Israel spent years hacking Tehran's traffic cameras and gaining access to mobile phone networks to monitor the movements of Khamenei and his security detail.",Neutral,-0.025
2026-03-04 09:39:40.491808,U.S urges immediate exit from 14 Middle East countries amid Iran-Israel war: Check the complete list,"The U.S. Department of State has issued an emergency security update as of March 2, 2026, mandating that all Americans currently in the Middle East depart immediately via commercial means. Citing ""serious safety risks,"" the advisory covers 15 nations, includi…",The Times of India,"U.S urges immediate exit from 14 Middle East countries amid Iran-Israel war: Check the complete list The U.S. Department of State has issued an emergency security update as of March 2, 2026, mandating that all Americans currently in the Middle East depart immediately via commercial means. Citing ""serious safety risks,"" the advisory covers 15 nations, includi…",Neutral,-0.03888888888888888
2026-03-04 09:39:40.491819,"UN says Israel has suspended humanitarian movements into Gaza, closed all crossings","HAMILTON: The United Nations (UN) said Monday (March 2) that Israel has closed all crossings into the Gaza Strip and suspended humanitarian movements in and near areas where Israeli forces remain deployed, Anadolu Ajansi (AA) reported. Read full story",The Star Online,"UN says Israel has suspended humanitarian movements into Gaza, closed all crossings HAMILTON: The United Nations (UN) said Monday (March 2) that Israel has closed all crossings into the Gaza Strip and suspended humanitarian movements in and near areas where Israeli forces remain deployed, Anadolu Ajansi (AA) reported. Read full story",Neutral,0.06249999999999999
2026-03-04 09:39:40.491824,Travelling or living overseas during the Iran crisis? Here’s what you need to know,People should register with SafeTravel for the latest safety advice.,New Zealand Herald,Travelling or living overseas during the Iran crisis? Here’s what you need to know People should register with SafeTravel for the latest safety advice.,Positive,0.5
2026-03-04 09:39:40.491826,"‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apologizes","A segment on the U.S. bombing of Iran became awkward on Monday when retired Gen. Jack Keane, a Fox News contributor, grew impatient on The Will Cain Show.
The post ‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apolog…",Mediaite,"‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apologizes A segment on the U.S. bombing of Iran became awkward on Monday when retired Gen. Jack Keane, a Fox News contributor, grew impatient on The Will Cain Show.
The post ‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apolog…",Negative,-0.11666666666666665
2026-03-04 09:39:40.491829,America Prayer Vigil - 3/3/26,"Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",Freerepublic.com,"America Prayer Vigil - 3/3/26 Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",Neutral,-0.05
2026-03-04 09:39:40.491831,Critics Mock 'Addled Psycho' Trump For Off-Topic Ramble At Medal Of Honor Ceremony,The president used a somber occasion to brag about his ballroom... and his taste in drapes.,HuffPost,Critics Mock 'Addled Psycho' Trump For Off-Topic Ramble At Medal Of Honor Ceremony The president used a somber occasion to brag about his ballroom... and his taste in drapes.,Negative,-0.4666666666666666
2026-03-04 09:39:40.491834,Israel's ambassador to Australia seeks to discredit the United Nations,"Israel's new ambassador to Australia seeks to discredit the United Nations by claiming the country ""can't take them seriously"".",ABC News (AU),"Israel's ambassador to Australia seeks to discredit the United Nations Israel's new ambassador to Australia seeks to discredit the United Nations by claiming the country ""can't take them seriously"".",Neutral,-0.09848484848484848
2026-03-04 09:39:40.491836,"Middle East conflict delays Windies, Zimbabwe teams' return",The West Indies and Zimbabwe cricket teams have delayed their return from India after being eliminated from the Twenty20 World Cup due to international airspace closures amid the ongoing conflict in the Middle East.,Rediff.com,"Middle East conflict delays Windies, Zimbabwe teams' return The West Indies and Zimbabwe cricket teams have delayed their return from India after being eliminated from the Twenty20 World Cup due to international airspace closures amid the ongoing conflict in the Middle East.",Neutral,-0.03125
2026-03-04 09:39:40.491838,Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video,"""Just as good,"" the late night host quips
The post Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video appeared first on TheWrap.",TheWrap,"Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video ""Just as good,"" the late night host quips
The post Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video appeared first on TheWrap.",Positive,0.21666666666666665
2026-03-04 09:39:40.491840,Woman Kicks Husband’s Entitled Family Out After They Call Her Out For Not Having A Job,"It started with generosity and trust, the kind that grows quietly over years. She supported her husband and even helped his extended family through financial struggles, never expecting repayment. But after becoming a mother and stepping away from work, the sa…",Boredpanda.com,"Woman Kicks Husband’s Entitled Family Out After They Call Her Out For Not Having A Job It started with generosity and trust, the kind that grows quietly over years. She supported her husband and even helped his extended family through financial struggles, never expecting repayment. But after becoming a mother and stepping away from work, the sa…",Positive,0.2625
2026-03-04 09:39:40.491842,New strikes across Middle East as Iran presses retaliatory attacks,US President Donald Trump warned that his attack on Iran could extend longer than a month.,CNA,New strikes across Middle East as Iran presses retaliatory attacks US President Donald Trump warned that his attack on Iran could extend longer than a month.,Neutral,0.06818181818181818
2026-03-04 09:39:40.491845,Ethiopian Modernism: Mid-Century Architecture of Africa's Capital,"In January 2026, the World Monuments Fund/Knoll Modernism Prize was awarded to Australian firm Architectus for their conservation of the Africa Hall in Addis Ababa, Ethiopia. The award recognizes that Modernist buildings, once seen as a vanguard of architectu…",ArchDaily,"Ethiopian Modernism: Mid-Century Architecture of Africa's Capital In January 2026, the World Monuments Fund/Knoll Modernism Prize was awarded to Australian firm Architectus for their conservation of the Africa Hall in Addis Ababa, Ethiopia. The award recognizes that Modernist buildings, once seen as a vanguard of architectu…",Neutral,-0.1
2026-03-04 09:39:40.491847,Amazon says drones damaged three facilities in UAE and Bahrain,The incidents highlight the vulnerability of key technology infrastructure during military conflicts.,BBC News,Amazon says drones damaged three facilities in UAE and Bahrain The incidents highlight the vulnerability of key technology infrastructure during military conflicts.,Neutral,-0.05
2026-03-04 09:39:40.491849,Mossad hacked every traffic camera in Tehran for YEARS... how Israel and America sealed the fate of the ayatollah,"Mossad operatives hacked into Tehran's traffic camera network to spy on Ayatollah Ali Khamenei, his bodyguards and other top Iranian officials for years Israel gained access to almost all the city's cameras, and tracked the movements of key bodyguards. Images…",Freerepublic.com,"Mossad hacked every traffic camera in Tehran for YEARS... how Israel and America sealed the fate of the ayatollah Mossad operatives hacked into Tehran's traffic camera network to spy on Ayatollah Ali Khamenei, his bodyguards and other top Iranian officials for years Israel gained access to almost all the city's cameras, and tracked the movements of key bodyguards. Images…",Positive,0.125
2026-03-04 09:39:40.491851,Netanyahu Says There Will Be No Endless War With Iran,"Israeli Prime Minister Benjamin Netanyahu has said that there will be no endless war with Iran, but rather swift and decisive action.",Sputnikglobe.com,"Netanyahu Says There Will Be No Endless War With Iran Israeli Prime Minister Benjamin Netanyahu has said that there will be no endless war with Iran, but rather swift and decisive action.",Neutral,0.075
2026-03-04 09:39:40.491854,Witkoff: The Iranians boasted that they could make 11 nuclear bombs,"President Trump's envoy, Steve Witkoff, says in Fox News that Iran showed no interest in a deal to curb its missile program and nuclear ambitions.",Israelnationalnews.com,"Witkoff: The Iranians boasted that they could make 11 nuclear bombs President Trump's envoy, Steve Witkoff, says in Fox News that Iran showed no interest in a deal to curb its missile program and nuclear ambitions.",Neutral,0.0
2026-03-04 09:39:40.491856,Westbound flights from Delhi delayed amid West Asia tensions,Emirates and Etihad resume select operations as India monitors airspace situation,BusinessLine,Westbound flights from Delhi delayed amid West Asia tensions Emirates and Etihad resume select operations as India monitors airspace situation,Neutral,0.0
2026-03-04 09:39:40.491858,"Justice is 'being delivered', say Iranian Christians",A global network of Iranian Christians has welcomed targeted strikes against Iran’s leadership by the US and Israel.,Christiantoday.com,"Justice is 'being delivered', say Iranian Christians A global network of Iranian Christians has welcomed targeted strikes against Iran’s leadership by the US and Israel.",Neutral,0.0
2026-03-04 09:39:40.491860,Israel hacked Iran traffic cameras for years to pinpoint Khamenei location prior to strike: News report,"Iran war: According the Financial Times which cited multiple sources, Israel spent years hacking Tehran's traffic cameras and gaining access to mobile phone networks to monitor the movements of Khamenei and his security detail.",The Times of India,"Israel hacked Iran traffic cameras for years to pinpoint Khamenei location prior to strike: News report Iran war: According the Financial Times which cited multiple sources, Israel spent years hacking Tehran's traffic cameras and gaining access to mobile phone networks to monitor the movements of Khamenei and his security detail.",Neutral,-0.025
2026-03-04 09:58:27.332507,Amazon Cloud Facilities in Middle East Knocked Out by Apparent Iranian Drone Strikes,Cloud customers are being urged to migrate their data away from the Middle East.,Gizmodo.com,Amazon Cloud Facilities in Middle East Knocked Out by Apparent Iranian Drone Strikes Cloud customers are being urged to migrate their data away from the Middle East.,Neutral,0.016666666666666666
2026-03-04 09:58:27.332515,Missiles over Dubai: Rio Ferdinand details family's fear during Middle East conflict,"Former Manchester United captain Rio Ferdinand has opened up about the harrowing experience his family faced during missile strikes in Dubai, shedding light on the toll of living a",Marca,"Missiles over Dubai: Rio Ferdinand details family's fear during Middle East conflict Former Manchester United captain Rio Ferdinand has opened up about the harrowing experience his family faced during missile strikes in Dubai, shedding light on the toll of living a",Positive,0.13333333333333333
2026-03-04 09:58:27.332519,Can you shoot a coyote for attacking your dog?,"Can You Legally Shoot a Coyote Attacking Your Dog? Understanding Your Rights The answer to Can you shoot a coyote for attacking your dog? is complex and depends heavily on your location and specific circumstances. Legally speaking, the answer is sometimes, bu…",Lifesciencesworld.com,"Can you shoot a coyote for attacking your dog? Can You Legally Shoot a Coyote Attacking Your Dog? Understanding Your Rights The answer to Can you shoot a coyote for attacking your dog? is complex and depends heavily on your location and specific circumstances. Legally speaking, the answer is sometimes, bu…",Neutral,-0.019999999999999997
2026-03-04 09:58:27.332522,Flights from Dubai resume to India amid Iran conflict disruptions,Stranded passengers recount experiences while UAE airports partially reopen,BusinessLine,Flights from Dubai resume to India amid Iran conflict disruptions Stranded passengers recount experiences while UAE airports partially reopen,Neutral,-0.1
2026-03-04 09:58:27.332524,Getac eyes defense digitalization amid Middle East conflict escalation,The intensifying conflicts in the Middle East are fueling demand for defense digitalization. Getac Holdings chairman James Hwang noted that as countries worldwide increase their defense budgets and adopt new warfare technologies like drones and AI digitalizat…,Digitimes,Getac eyes defense digitalization amid Middle East conflict escalation The intensifying conflicts in the Middle East are fueling demand for defense digitalization. Getac Holdings chairman James Hwang noted that as countries worldwide increase their defense budgets and adopt new warfare technologies like drones and AI digitalizat…,Neutral,0.04545454545454545
